day,Dorine Sauzet,Jean-Baptiste,Quentin-Production Type,Christoph Koeberlin
2016-28,0,1,1,0
2016-29,0,1,2,0
2016-35,0,1,3,0
2016-36,0,2,3,0
2016-40,0,13,3,0
2016-41,0,16,3,0
2016-42,0,21,3,0
2016-43,0,24,3,0
2016-44,14,61,4,0
2016-45,28,73,6,0
2016-46,28,79,16,0
2016-47,61,92,18,0
2016-48,82,96,18,0
2016-49,97,99,24,0
2016-50,103,102,26,0
2016-51,112,102,27,0
2016-52,112,103,27,0
2017-01,113,103,27,0
2017-02,122,109,27,0
2017-03,125,111,28,0
2017-04,128,113,29,0
2017-05,138,113,33,0
2017-06,140,122,34,0
2017-07,146,122,35,0
2017-08,150,122,35,2
