day,ammount of lines
2016-28,799
2016-29,799
2016-30,799
2016-31,799
2016-32,799
2016-33,799
2016-34,799
2016-35,799
2016-36,1262
2016-37,1262
2016-38,1262
2016-39,1262
2016-40,27162
2016-41,56361
2016-42,137342
2016-43,141711
2016-44,338411
2016-45,550229
2016-46,937372
2016-47,4039637
2016-48,4475214
2016-49,6439900
2016-50,7146441
2016-51,8228036
2016-52,8228036
2017-01,9269779
2017-02,13018037
2017-03,13817760
2017-04,14861731
2017-05,16001212
2017-06,17147782
2017-07,18756048
2017-08,20240119
